name,seed,gamma,gamma_type,epochs,batch_size,cog_mtl,discount,max_time_steps,w_lambda,action_lim,cog_init,cog_type,energy_model,score,network,algo,category,train_mae,valid_mae,test_mae,train_mse,valid_mse,test_mse,train_mae_emci,valid_mae_emci,test_mae_emci,train_mae_cn,valid_mae_cn,test_mae_cn,train_mae_lmci,valid_mae_lmci,test_mae_lmci,train_mae_smc,valid_mae_smc,test_mae_smc,train_mse_emci,valid_mse_emci,test_mse_emci,train_mse_cn,valid_mse_cn,test_mse_cn,train_mse_lmci,valid_mse_lmci,test_mse_lmci,train_mse_smc,valid_mse_smc,test_mse_smc,train_reward_rl,valid_reward_rl,test_reward_rl,train_reward,valid_reward,test_reward
adni_fold1,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.156,1.027,1.107,2.619,2.249,2.459,1.11,1.015,0.989,1.159,0.92,1.294,1.377,1.195,1.064,0.963,0.931,0.996,2.284,2.216,1.971,2.819,2.084,3.446,3.357,2.671,1.989,2.12,1.837,1.963,-4.988,-4.482,-15.932,0,0,0
adni_fold2,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.529,0.663,0.525,0.652,1.275,0.615,0.565,0.687,0.51,0.413,0.417,0.423,0.748,1.49,0.648,0.316,0.456,0.572,0.697,1.118,0.604,0.358,0.338,0.456,1.268,5.504,0.794,0.169,0.401,0.641,-3.786,-17.844,-3.612,0,0,0
adni_fold1,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.696,1.516,1.616,6.437,5.497,6.046,1.685,1.657,1.46,1.727,1.27,2.031,1.935,1.616,1.37,1.257,1.059,1.333,6.303,6.384,5.184,7.048,4.267,9.281,7.192,5.943,3.461,4.027,2.429,4.068,-5.401,-5.287,-28.112,0,0,0
adni_fold2,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.609,0.743,0.598,0.735,1.379,0.664,0.622,0.722,0.6,0.546,0.586,0.526,0.801,1.323,0.642,0.387,0.681,0.728,0.754,1.13,0.622,0.546,0.665,0.57,1.243,4.865,0.814,0.256,0.898,0.748,-3.886,-11.014,-3.731,0,0,0
adni_fold3,4,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,2.179,1.923,2.081,8.855,7.133,7.835,2.325,1.859,2.225,2.081,1.849,1.717,2.316,2.24,1.799,1.65,1.308,2.154,9.532,6.142,8.747,8.948,7.193,6.969,8.885,9.154,4.983,5.81,3.169,8.049,-5.603,-5.41,-5.433,0,0,0
adni_fold2,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.506,0.635,0.554,0.601,1.224,0.72,0.545,0.715,0.582,0.391,0.386,0.442,0.706,1.413,0.602,0.306,0.308,0.649,0.622,1.163,0.766,0.368,0.388,0.484,1.154,5.052,0.891,0.15,0.166,0.719,-3.831,-10.934,-3.662,0,0,0
adni_fold2,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.791,2.011,1.786,3.744,4.531,3.735,1.695,2.016,1.592,2.093,2.192,2.04,1.508,1.79,1.861,1.851,1.8,1.711,3.426,4.618,3.112,4.749,5.037,4.525,2.909,4.039,3.966,3.742,3.633,3.653,-13.775,-25.921,-4.796,0,0,0
adni_fold4,4,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.742,1.778,1.719,3.482,3.396,3.432,1.611,1.702,1.716,2.011,2.021,1.976,1.629,1.579,1.254,1.87,1.639,1.736,3.061,3.095,3.3,4.339,4.301,4.157,3.187,2.668,2.429,3.754,2.916,3.272,-4.703,-4.463,-4.786,0,0,0
adni_fold2,4,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,2.583,2.795,2.653,7.52,8.579,7.907,2.495,2.739,2.658,2.908,3.114,2.736,2.169,2.009,2.574,2.792,2.917,2.573,6.963,8.202,7.945,9.023,10.277,8.21,5.964,4.866,7.617,8.375,9.118,7.483,-5.468,-19.553,-5.406,0,0,0
adni_fold3,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.565,1.499,1.501,2.902,2.592,2.643,1.487,1.438,1.518,1.785,1.457,1.669,1.427,1.677,1.151,1.44,1.294,1.624,2.668,2.551,2.766,3.47,2.388,3.075,2.673,3.101,1.58,2.465,1.775,2.827,-6.487,-4.422,-4.538,0,0,0
adni_fold0,4,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.619,0.716,0.499,0.907,1.197,0.496,0.649,0.914,0.63,0.474,0.429,0.392,0.904,0.762,0.451,0.421,0.339,0.359,1.007,1.752,0.816,0.441,0.312,0.25,1.796,1.375,0.304,0.296,0.177,0.219,-3.727,-3.744,-3.777,0,0,0
adni_fold2,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,0.628,0.581,0.542,1.018,1.128,0.74,0.734,0.603,0.5,0.325,0.324,0.378,1.027,1.568,0.751,0.321,0.281,0.699,1.155,0.845,0.678,0.284,0.234,0.411,2.275,5.829,1.162,0.214,0.183,0.865,-309.546,-285.007,-266.009,0,0,0
adni_fold4,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.516,0.351,0.598,0.501,0.203,0.933,0.574,0.308,0.471,0.425,0.379,0.437,0.576,0.382,1.253,0.361,0.406,0.32,0.622,0.133,0.372,0.293,0.277,0.279,0.643,0.185,3.451,0.186,0.282,0.13,-5.497,-3.379,-26.518,0,0,0
adni_fold1,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.621,0.406,0.599,1.032,0.369,1.277,0.69,0.401,0.733,0.331,0.243,0.451,1.146,0.543,0.711,0.299,0.452,0.343,1.012,0.361,2.418,0.273,0.105,0.466,2.868,0.552,1.09,0.175,0.511,0.2,-3.64,-3.288,-3.757,0,0,0
adni_fold2,4,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.549,0.629,0.559,0.628,1.136,0.632,0.571,0.648,0.599,0.449,0.412,0.44,0.767,1.413,0.607,0.338,0.414,0.615,0.664,0.951,0.654,0.334,0.295,0.446,1.238,5.253,0.794,0.184,0.241,0.622,-3.867,-17.911,-3.698,0,0,0
adni_fold4,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.617,1.57,1.491,3.585,3.297,3.142,1.5,1.523,1.242,1.898,1.835,1.621,1.519,1.47,1.483,1.606,1.205,1.735,3.189,3.175,2.371,4.551,4.173,3.364,3.263,2.877,3.471,3.49,2.056,3.854,-4.968,-4.85,-5.01,0,0,0
adni_fold4,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.277,1.299,1.29,1.979,1.897,2.065,1.178,1.271,1.247,1.468,1.461,1.454,1.23,1.138,1.076,1.321,1.151,1.269,1.761,1.818,1.843,2.417,2.298,2.339,1.885,1.485,2.016,1.997,1.575,1.888,-4.532,-4.267,-15.927,0,0,0
adni_fold0,4,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.261,1.23,1.246,1.892,1.831,1.778,1.27,0.985,1.096,1.41,1.493,1.399,1.062,1.295,1.244,1.168,1.495,1.383,1.889,1.342,1.442,2.175,2.401,2.116,1.667,1.928,1.767,1.543,2.357,2.111,-8.005,-4.512,-4.475,0,0,0
adni_fold3,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.275,1.185,1.228,2.092,1.715,1.913,1.226,1.134,1.26,1.453,1.13,1.34,1.177,1.387,0.991,1.085,0.894,1.238,1.974,1.655,2.065,2.471,1.545,2.15,1.989,2.206,1.232,1.557,0.877,1.809,-4.636,-4.294,-4.425,0,0,0
adni_fold1,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.59,0.382,0.576,0.936,0.335,0.904,0.652,0.39,0.67,0.343,0.257,0.528,1.04,0.446,0.596,0.299,0.438,0.338,0.934,0.353,1.418,0.306,0.099,0.662,2.466,0.426,0.733,0.16,0.495,0.189,-3.707,-3.329,-9.476,0,0,0
adni_fold3,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.54,0.455,0.548,0.923,0.443,0.784,0.564,0.695,0.607,0.302,0.326,0.261,0.987,0.368,0.839,0.345,0.294,0.316,1.046,0.909,0.899,0.192,0.193,0.24,2.243,0.27,1.51,0.232,0.139,0.175,-3.765,-3.369,-3.539,0,0,0
adni_fold3,4,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.539,0.434,0.608,0.819,0.428,0.92,0.562,0.648,0.654,0.329,0.324,0.321,0.938,0.34,1.0,0.35,0.328,0.325,0.802,0.84,1.033,0.241,0.197,0.298,2.104,0.288,1.841,0.258,0.174,0.205,-3.763,-3.348,-3.497,0,0,0
adni_fold0,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.87,1.841,1.891,4.003,3.964,3.925,1.906,1.619,1.793,2.03,2.212,1.998,1.66,1.782,1.901,1.667,2.151,1.93,4.163,3.201,3.628,4.508,5.209,4.294,3.423,3.847,3.833,3.068,4.833,4.082,-4.892,-4.944,-4.905,0,0,0
adni_fold3,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,0.602,0.519,0.649,0.998,0.699,1.018,0.578,0.824,0.725,0.357,0.377,0.336,1.184,0.367,0.988,0.359,0.37,0.333,0.777,1.316,1.182,0.341,0.445,0.376,2.905,0.382,1.824,0.304,0.222,0.243,-375.332,-215.775,-278.388,0,0,0
adni_fold1,4,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.202,1.223,1.204,1.936,1.854,1.991,1.095,1.264,1.131,1.343,1.225,1.566,1.189,1.194,0.919,1.241,1.078,0.88,1.703,1.986,1.771,2.215,1.762,2.995,2.049,1.782,1.243,1.866,1.517,1.066,-4.517,-4.262,-15.862,0,0,0
adni_fold0,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.713,1.699,1.702,3.526,3.519,3.299,1.764,1.444,1.624,1.842,2.023,1.788,1.535,1.717,1.713,1.481,2.026,1.73,3.736,2.762,3.119,3.91,4.512,3.542,3.039,3.607,3.192,2.563,4.275,3.397,-4.811,-4.872,-4.812,0,0,0
adni_fold0,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.632,0.631,0.455,0.796,0.658,0.293,0.619,0.602,0.491,0.529,0.498,0.43,0.95,0.798,0.438,0.436,0.514,0.409,0.686,0.617,0.352,0.443,0.33,0.252,1.924,1.032,0.259,0.287,0.365,0.217,-7.373,-3.97,-9.457,0,0,0
adni_fold1,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.585,0.381,0.554,0.903,0.305,0.993,0.633,0.384,0.659,0.336,0.239,0.469,1.07,0.466,0.61,0.291,0.456,0.321,0.852,0.307,1.809,0.262,0.082,0.481,2.551,0.425,0.784,0.145,0.463,0.159,-3.699,-3.328,-3.82,0,0,0
adni_fold4,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,2.985,2.867,2.786,11.361,10.242,10.237,2.831,2.694,2.585,3.372,3.323,3.474,2.791,2.649,1.859,3.072,2.584,2.779,10.645,9.503,8.453,13.522,12.835,15.149,10.257,9.163,4.811,11.199,7.685,9.112,-6.261,-6.053,-6.156,0,0,0
adni_fold1,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.952,1.998,2.034,4.856,4.846,5.19,1.928,2.034,1.972,2.09,1.947,2.361,1.717,2.055,1.794,2.05,1.795,1.682,4.736,4.964,4.93,5.408,4.694,6.747,4.03,5.012,3.917,5.149,4.189,3.713,-5.103,-4.815,-10.785,0,0,0
adni_fold0,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.658,0.699,0.548,0.8,0.705,0.409,0.682,0.661,0.472,0.612,0.587,0.622,0.786,0.866,0.511,0.485,0.57,0.684,0.866,0.621,0.305,0.508,0.428,0.519,1.403,1.108,0.343,0.334,0.384,0.579,-3.867,-3.926,-3.856,0,0,0
adni_fold1,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.62,0.421,0.588,1.027,0.382,1.264,0.685,0.429,0.7,0.334,0.236,0.453,1.146,0.549,0.712,0.296,0.457,0.339,0.988,0.405,2.318,0.275,0.092,0.525,2.898,0.535,1.118,0.159,0.485,0.17,-3.65,-3.296,-3.775,0,0,0
adni_fold4,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.508,0.31,0.55,0.572,0.208,0.98,0.597,0.261,0.458,0.36,0.293,0.275,0.577,0.442,1.362,0.349,0.408,0.255,0.746,0.135,0.418,0.254,0.208,0.155,0.766,0.322,3.838,0.19,0.36,0.12,-3.535,-3.201,-15.068,0,0,0
adni_fold4,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.594,0.374,0.627,0.658,0.244,0.918,0.651,0.314,0.582,0.518,0.469,0.44,0.641,0.374,1.18,0.429,0.358,0.387,0.827,0.146,0.564,0.439,0.417,0.358,0.738,0.19,2.905,0.284,0.22,0.198,-3.714,-3.352,-15.214,0,0,0
adni_fold3,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.535,0.43,0.563,0.805,0.377,0.792,0.567,0.636,0.622,0.328,0.323,0.335,0.903,0.342,0.805,0.357,0.321,0.327,0.842,0.732,0.917,0.224,0.189,0.306,1.984,0.239,1.411,0.241,0.165,0.195,-3.804,-3.391,-3.578,0,0,0
adni_fold3,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.56,0.433,0.6,0.913,0.42,0.876,0.596,0.648,0.643,0.346,0.314,0.346,0.949,0.353,0.978,0.351,0.322,0.317,1.008,0.824,0.972,0.264,0.189,0.336,2.137,0.289,1.744,0.249,0.167,0.195,-3.758,-3.368,-3.513,0,0,0
adni_fold2,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,2.275,2.59,2.352,7.291,9.032,7.923,2.081,2.437,2.507,2.749,3.118,2.252,2.157,1.482,2.27,1.939,2.829,2.038,6.368,8.72,8.745,9.767,11.103,7.448,6.746,3.666,7.646,5.093,9.891,5.259,-5.715,-5.91,-5.667,0,0,0
adni_fold4,2,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.52,0.327,0.542,0.623,0.188,0.857,0.666,0.267,0.486,0.337,0.322,0.315,0.535,0.409,1.203,0.297,0.472,0.269,0.952,0.114,0.39,0.227,0.199,0.165,0.632,0.224,3.264,0.148,0.38,0.109,-5.392,-3.284,-20.851,0,0,0
adni_fold1,4,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.598,0.387,0.569,0.936,0.33,0.762,0.672,0.376,0.663,0.352,0.27,0.522,1.015,0.476,0.579,0.31,0.479,0.345,0.945,0.314,1.069,0.307,0.12,0.635,2.423,0.468,0.691,0.185,0.51,0.194,-3.704,-3.325,-9.497,0,0,0
adni_fold4,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.289,0.924,1.406,4.155,2.863,4.624,1.369,1.033,1.518,1.161,0.958,1.458,1.534,0.587,1.608,0.703,0.749,0.648,4.483,3.607,5.133,4.109,3.274,5.767,4.824,0.66,3.726,1.159,1.179,1.5,-5.014,-4.619,-10.849,0,0,0
adni_fold0,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.553,0.605,0.408,0.907,0.933,0.329,0.555,0.752,0.535,0.313,0.291,0.282,1.027,0.75,0.441,0.396,0.188,0.241,0.867,1.084,0.495,0.258,0.176,0.149,2.405,1.508,0.386,0.3,0.096,0.133,-3.557,-3.656,-9.2,0,0,0
adni_fold2,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.553,0.657,0.538,0.681,1.238,0.621,0.585,0.661,0.523,0.426,0.457,0.452,0.796,1.441,0.62,0.333,0.446,0.7,0.724,1.063,0.575,0.369,0.39,0.469,1.332,5.28,0.833,0.188,0.375,0.739,-3.813,-17.877,-3.648,0,0,0
adni_fold0,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,2.116,2.124,2.195,7.228,7.029,7.096,2.082,2.009,1.943,2.477,2.507,2.496,1.913,2.166,2.12,1.647,1.54,2.369,7.323,6.403,5.998,9.149,8.607,8.19,5.595,7.428,7.119,4.632,4.541,8.114,-5.593,-5.765,-5.758,0,0,0
adni_fold3,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.576,0.477,0.587,1.032,0.513,0.849,0.599,0.768,0.645,0.32,0.308,0.297,1.075,0.382,0.933,0.341,0.305,0.314,1.142,1.082,0.967,0.227,0.187,0.274,2.548,0.329,1.646,0.241,0.15,0.187,-3.727,-3.316,-3.489,0,0,0
adni_fold4,4,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,0.53,0.329,0.681,0.661,0.25,1.453,0.62,0.288,0.611,0.325,0.269,0.338,0.682,0.491,1.663,0.326,0.479,0.259,0.837,0.165,0.709,0.245,0.206,0.381,1.006,0.403,5.326,0.199,0.514,0.118,-3.486,-3.167,-3.742,0,0,0
adni_fold3,1,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.678,1.588,1.618,3.338,2.898,3.095,1.651,1.523,1.644,1.869,1.536,1.753,1.496,1.803,1.356,1.524,1.308,1.653,3.25,2.772,3.23,3.883,2.66,3.522,2.924,3.619,2.255,2.744,1.817,3.033,-4.871,-4.586,-4.725,0,0,0
adni_fold1,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.136,1.04,1.14,2.095,1.836,2.141,1.027,1.048,1.022,1.17,1.133,1.462,1.332,0.994,0.988,1.129,0.925,0.825,1.704,1.935,1.79,2.209,2.086,3.248,2.78,1.493,1.461,2.128,1.595,1.192,-4.411,-4.22,-10.148,0,0,0
adni_fold2,3,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.695,2.033,1.73,4.248,5.9,4.398,1.574,1.756,1.733,1.972,2.464,1.701,1.686,1.403,1.753,1.428,2.468,1.74,3.76,4.873,4.299,5.408,7.333,4.646,4.054,3.911,4.336,3.32,7.582,4.254,-4.816,-12.028,-4.781,0,0,0
adni_fold0,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,PPO,APOE,1.363,1.339,1.365,2.361,2.369,2.244,1.411,1.083,1.288,1.47,1.631,1.449,1.195,1.386,1.369,1.181,1.644,1.406,2.478,1.756,2.095,2.627,3.122,2.41,2.042,2.435,2.211,1.771,3.137,2.374,-8.264,-4.809,-10.444,0,0,0
adni_fold0,5,1.0,fixed,1000,1000,7.0,1.0,11,1.0,2.0,full,fixed,inverse,MMSE,32,TRPO,APOE,1.096,1.131,0.953,1.664,1.718,1.18,1.176,0.962,0.869,1.109,1.108,1.058,1.095,1.365,0.905,0.767,1.165,1.031,1.842,1.339,1.044,1.544,1.564,1.402,1.901,2.389,0.955,0.937,1.529,1.338,-4.197,-4.239,-4.111,0,0,0
